trans_type,sigma,weber_fraction
log,0.0165,0.0165
log,0.0248,0.0248
log,0.025,0.025
log,0.033,0.033
log,0.0375,0.0375
log,0.05,0.05
log,0.0562,0.0562
log,0.066,0.066
log,0.075,0.075
log,0.1,0.1
log,0.1125,0.1125
log,0.15,0.15
log,0.2,0.2
log,0.225,0.225
log,0.3,0.3
log,0.4,0.4
log,0.45,0.45
log,0.6,0.6
0.33,0.0165,
0.33,0.0248,
0.33,0.025,
0.33,0.033,
0.33,0.0375,
0.33,0.05,
0.33,0.0562,
0.33,0.066,
0.33,0.075,
0.33,0.1,
0.33,0.1125,
0.33,0.15,
0.33,0.2,
0.33,0.225,
0.33,0.3,
0.33,0.4,
0.33,0.45,
0.33,0.6,
0.5,0.0165,
0.5,0.0248,
0.5,0.025,
0.5,0.033,
0.5,0.0375,
0.5,0.05,
0.5,0.0562,
0.5,0.066,
0.5,0.075,
0.5,0.1,
0.5,0.1125,
0.5,0.15,
0.5,0.2,
0.5,0.225,
0.5,0.3,
0.5,0.4,
0.5,0.45,
0.5,0.6,
0.75,0.0165,
0.75,0.0248,
0.75,0.025,
0.75,0.033,
0.75,0.0375,
0.75,0.05,
0.75,0.0562,
0.75,0.066,
0.75,0.075,
0.75,0.1,
0.75,0.1125,
0.75,0.15,
0.75,0.2,
0.75,0.225,
0.75,0.3,
0.75,0.4,
0.75,0.45,
0.75,0.6,
1.0,0.0165,
1.0,0.0248,
1.0,0.025,
1.0,0.033,
1.0,0.0375,
1.0,0.05,
1.0,0.0562,
1.0,0.066,
1.0,0.075,
1.0,0.1,
1.0,0.1125,
1.0,0.15,
1.0,0.2,
1.0,0.225,
1.0,0.3,
1.0,0.4,
1.0,0.45,
1.0,0.6,
1.5,0.0165,
1.5,0.0248,
1.5,0.025,
1.5,0.033,
1.5,0.0375,
1.5,0.05,
1.5,0.0562,
1.5,0.066,
1.5,0.075,
1.5,0.1,
1.5,0.1125,
1.5,0.15,
1.5,0.2,
1.5,0.225,
1.5,0.3,
1.5,0.4,
1.5,0.45,
1.5,0.6,
2.0,0.0165,
2.0,0.0248,
2.0,0.025,
2.0,0.033,
2.0,0.0375,
2.0,0.05,
2.0,0.0562,
2.0,0.066,
2.0,0.075,
2.0,0.1,
2.0,0.1125,
2.0,0.15,
2.0,0.2,
2.0,0.225,
2.0,0.3,
2.0,0.4,
2.0,0.45,
2.0,0.6,
3.0,0.0165,
3.0,0.0248,
3.0,0.025,
3.0,0.033,
3.0,0.0375,
3.0,0.05,
3.0,0.0562,
3.0,0.066,
3.0,0.075,
3.0,0.1,
3.0,0.1125,
3.0,0.15,
3.0,0.2,
3.0,0.225,
3.0,0.3,
3.0,0.4,
3.0,0.45,
3.0,0.6,
