trans_type,g,weber_fraction
log,0.0165,
log,0.0248,
log,0.025,
log,0.033,
log,0.0375,
log,0.05,
log,0.0562,
log,0.066,
log,0.075,
log,0.1,
log,0.1125,
log,0.15,
log,0.2,
log,0.225,
log,0.3,
log,0.4,
log,0.45,
log,0.6,
0.33,0.0165,0.05
0.33,0.0248,0.07515151515151515
0.33,0.025,0.07575757575757576
0.33,0.033,0.1
0.33,0.0375,0.11363636363636363
0.33,0.05,0.15151515151515152
0.33,0.0562,0.1703030303030303
0.33,0.066,0.2
0.33,0.075,0.22727272727272727
0.33,0.1,0.30303030303030304
0.33,0.1125,0.3409090909090909
0.33,0.15,0.45454545454545453
0.33,0.2,0.6060606060606061
0.33,0.225,0.6818181818181818
0.33,0.3,0.9090909090909091
0.33,0.4,1.2121212121212122
0.33,0.45,1.3636363636363635
0.33,0.6,1.8181818181818181
0.5,0.0165,0.033
0.5,0.0248,0.0496
0.5,0.025,0.05
0.5,0.033,0.066
0.5,0.0375,0.075
0.5,0.05,0.1
0.5,0.0562,0.1124
0.5,0.066,0.132
0.5,0.075,0.15
0.5,0.1,0.2
0.5,0.1125,0.225
0.5,0.15,0.3
0.5,0.2,0.4
0.5,0.225,0.45
0.5,0.3,0.6
0.5,0.4,0.8
0.5,0.45,0.9
0.5,0.6,1.2
0.75,0.0165,0.022000000000000002
0.75,0.0248,0.03306666666666667
0.75,0.025,0.03333333333333333
0.75,0.033,0.044000000000000004
0.75,0.0375,0.049999999999999996
0.75,0.05,0.06666666666666667
0.75,0.0562,0.07493333333333334
0.75,0.066,0.08800000000000001
0.75,0.075,0.09999999999999999
0.75,0.1,0.13333333333333333
0.75,0.1125,0.15
0.75,0.15,0.19999999999999998
0.75,0.2,0.26666666666666666
0.75,0.225,0.3
0.75,0.3,0.39999999999999997
0.75,0.4,0.5333333333333333
0.75,0.45,0.6
0.75,0.6,0.7999999999999999
1.0,0.0165,0.0165
1.0,0.0248,0.0248
1.0,0.025,0.025
1.0,0.033,0.033
1.0,0.0375,0.0375
1.0,0.05,0.05
1.0,0.0562,0.0562
1.0,0.066,0.066
1.0,0.075,0.075
1.0,0.1,0.1
1.0,0.1125,0.1125
1.0,0.15,0.15
1.0,0.2,0.2
1.0,0.225,0.225
1.0,0.3,0.3
1.0,0.4,0.4
1.0,0.45,0.45
1.0,0.6,0.6
1.5,0.0165,0.011000000000000001
1.5,0.0248,0.016533333333333334
1.5,0.025,0.016666666666666666
1.5,0.033,0.022000000000000002
1.5,0.0375,0.024999999999999998
1.5,0.05,0.03333333333333333
1.5,0.0562,0.03746666666666667
1.5,0.066,0.044000000000000004
1.5,0.075,0.049999999999999996
1.5,0.1,0.06666666666666667
1.5,0.1125,0.075
1.5,0.15,0.09999999999999999
1.5,0.2,0.13333333333333333
1.5,0.225,0.15
1.5,0.3,0.19999999999999998
1.5,0.4,0.26666666666666666
1.5,0.45,0.3
1.5,0.6,0.39999999999999997
2.0,0.0165,0.00825
2.0,0.0248,0.0124
2.0,0.025,0.0125
2.0,0.033,0.0165
2.0,0.0375,0.01875
2.0,0.05,0.025
2.0,0.0562,0.0281
2.0,0.066,0.033
2.0,0.075,0.0375
2.0,0.1,0.05
2.0,0.1125,0.05625
2.0,0.15,0.075
2.0,0.2,0.1
2.0,0.225,0.1125
2.0,0.3,0.15
2.0,0.4,0.2
2.0,0.45,0.225
2.0,0.6,0.3
3.0,0.0165,0.0055000000000000005
3.0,0.0248,0.008266666666666667
3.0,0.025,0.008333333333333333
3.0,0.033,0.011000000000000001
3.0,0.0375,0.012499999999999999
3.0,0.05,0.016666666666666666
3.0,0.0562,0.018733333333333334
3.0,0.066,0.022000000000000002
3.0,0.075,0.024999999999999998
3.0,0.1,0.03333333333333333
3.0,0.1125,0.0375
3.0,0.15,0.049999999999999996
3.0,0.2,0.06666666666666667
3.0,0.225,0.075
3.0,0.3,0.09999999999999999
3.0,0.4,0.13333333333333333
3.0,0.45,0.15
3.0,0.6,0.19999999999999998
